transform,dataset,image_path,mse,psnr,compression_ratio,direct_compression_ratio,original_entropy,transformed_entropy,quantized_entropy,quantization_scale,encode_ms,decode_ms,error
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,115.036,27.5225,7.69262,7.81889,6.67723,5.95826,0.117239,66.54166091831802,8606.14,3039.64,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,53.1779,30.8735,6.42568,6.97519,6.67723,5.95826,0.510997,23.29808512248101,8742.78,3030.75,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,26.0566,33.9716,4.46783,5.37085,6.67723,5.95826,1.22385,10.604499373000003,8925.25,3173.28,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,42.2751,31.87,5.81392,6.51781,6.67723,5.95826,0.709987,17.921603940370005,9092.97,3105.56,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,33.4444,32.8876,5.15308,5.98115,6.67723,5.95826,0.944978,13.785849184900005,9166.32,3127.32,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,15.2886,36.2871,3.25763,4.10813,6.67723,5.95826,1.87347,6.274851700000002,9439.54,3216.04,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,11.8692,37.3866,2.73045,3.45064,6.67723,5.95826,2.27909,4.826809000000001,9357.81,3288.81,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,20.104,35.098,3.84731,4.76955,6.67723,5.95826,1.51516,8.157307210000003,9728.54,3206.11,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,10.0365,38.115,2.43598,2.97339,6.67723,5.95826,2.60908,3.7129300000000005,9677.04,3377.65,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,8.14281,39.0231,1.98717,2.36583,6.67723,5.95826,3.32008,2.197,10337.9,3490.0,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,8.80487,38.6836,2.17917,2.65005,6.67723,5.95826,2.98519,2.8561000000000005,10525.2,3451.93,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,7.57556,39.3367,1.66548,1.94972,6.67723,5.95826,4.0637,1.3,10528.2,3511.14,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,7.87846,39.1664,1.82312,2.13921,6.67723,5.95826,3.6747,1.6900000000000002,10677.5,3537.95,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,7.50708,39.3761,1.53049,1.76147,6.67723,5.95826,4.50156,1.0,10727.6,3576.73,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,7.43143,39.4201,1.43596,1.65722,6.67723,5.95826,4.79196,0.7692307692307692,11286.4,3705.08,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,25.1224,34.1302,3.09001,4.10639,6.67723,4.62869,1.68162,1.0985,9102.46,3272.77,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,19.5207,35.2259,2.72295,3.50294,6.67723,4.62869,2.14446,0.8450000000000001,9227.39,3288.27,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,12.3896,37.2002,2.06243,2.78714,6.67723,4.62869,2.83523,0.65,9228.18,3435.62,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,10.551,37.8979,1.94904,2.64603,6.67723,4.62869,3.00181,0.5,9281.37,3457.67,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,165.806,25.9348,7.6246,7.7647,6.67723,4.62869,0.0863424,43.25207959690672,7890.24,3076.75,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,62.3996,30.179,5.22758,5.98931,6.67723,4.62869,0.72551,3.137425850000001,8694.27,3108.7,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,186.318,25.4283,7.80167,7.88261,6.67723,4.62869,0.0446714,73.09601451877235,8033.44,3036.98,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,158.271,26.1368,7.56541,7.73415,6.67723,4.62869,0.0975632,33.27083045915901,8103.98,3067.05,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,49.9795,31.1429,4.37802,5.30373,6.67723,4.62869,1.01289,2.4134045000000004,8728.39,3144.15,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,41.6624,31.9334,4.12423,5.05166,6.67723,4.62869,1.13865,1.8564650000000003,8817.38,3185.37,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,150.654,26.351,7.48413,7.68405,6.67723,4.62869,0.115324,25.59294650704539,8155.52,3085.52,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,90.9024,28.5451,6.08256,6.72866,6.67723,4.62869,0.436096,5.3022496865000015,8734.09,3090.22,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,129.942,26.9933,7.16188,7.43369,6.67723,4.62869,0.200639,15.143755329612656,8288.75,3059.2,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,34.5054,32.7519,3.61395,4.58045,6.67723,4.62869,1.38347,1.4280500000000003,8918.71,3262.49,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,104.864,27.9246,6.53883,7.05472,6.67723,4.62869,0.326512,8.960801970185003,8343.6,3083.04,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,76.3193,29.3045,5.6817,6.46609,6.67723,4.62869,0.532322,4.078653605000001,8864.58,3123.4,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,96.3606,28.2918,6.32724,6.89962,6.67723,4.62869,0.380601,6.892924592450003,8471.7,3085.63,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,177.651,25.6351,7.75964,7.84314,6.67723,4.62869,0.0599364,56.22770347597873,8356.22,3042.96,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,117.08,27.446,6.76984,7.18386,6.67723,4.62869,0.280839,11.649042561240504,8449.76,3079.87,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,140.042,26.6682,7.30118,7.57423,6.67723,4.62869,0.150796,19.686881928496454,8354.49,3211.03,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,13.5676,36.8058,4.53121,4.3062,6.57856,4.01877,1.63739,0.17279999999999998,13878.2,9546.02,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,12.2073,37.2646,3.93738,3.9724,6.57856,4.01877,1.85739,0.144,14585.0,9617.47,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,9.63933,38.2903,3.04557,3.33992,6.57856,4.01877,2.33667,0.1,15144.4,9907.64,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,10.8903,37.7604,3.48656,3.65862,6.57856,4.01877,2.08225,0.12,15291.7,9785.41,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,21.8943,34.7275,8.24784,5.74751,6.57856,4.01877,0.877441,0.42998169599999986,13163.8,9520.94,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,31.845,33.1004,15.024,6.76419,6.57856,4.01877,0.455115,1.0699320537907195,12467.8,9325.62,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,29.4037,33.4468,13.4628,6.60862,6.57856,4.01877,0.513132,0.8916100448255997,12757.7,9336.89,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,23.6617,34.3903,9.27429,5.98689,6.57856,4.01877,0.771252,0.5159780351999999,13363.3,9477.58,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,45.2835,31.5714,21.6201,7.22578,6.57856,4.01877,0.292252,2.2186111067404357,11757.0,9224.62,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,34.5536,32.7459,16.6857,6.90592,6.57856,4.01877,0.404452,1.2839184645488633,12430.4,9294.75,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,25.8677,34.0032,10.5644,6.22079,6.57856,4.01877,0.671138,0.6191736422399998,13040.9,9375.22,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,36.7709,32.4758,18.2883,7.02316,6.57856,4.01877,0.3618,1.540702157458636,12411.6,9277.04,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,18.3011,35.506,6.36782,5.14987,6.57856,4.01877,1.16765,0.29859839999999993,13803.7,9554.68,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,27.7423,33.6994,11.9564,6.42536,6.57856,4.01877,0.586195,0.7430083706879997,13097.7,9363.12,
